processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
ASQSQ467-09	BCLDQ1259	1256258	BCLDQ1259		Natural History Museum, London			20	Arthropoda	82	Insecta	125	Hymenoptera	527	Braconidae	79775	Rogadinae	79776	Aleiodes					Donald L. J. Quicke														A																Nepal		Kathmandu											
BASYM2811-13	DEI-GISHym19743	3258984	DEI-GISHym19743	DEI-GISHym19743	Senckenberg Deutsches Entomologisches Institut		BOLD:ACG2610	20	Arthropoda	82	Insecta	125	Hymenoptera	80410	Tenthredinidae	80517	Tenthredininae	80518	Tenthredo	340129	Tenthredo podagrica			Andreas Taeger							Weipert, J.							A	F	S						29.5	80.5			2800				Nepal		Mahakali		Shinae bis Hochebene vor Api bei Sare Duru									
BBWP311-09	1550-N582-NEP	1239649	N00582	1550C02-NEP	Naturkundemuseum Erfurt		BOLD:ADJ5794	20	Arthropoda	82	Insecta	125	Hymenoptera											Paul H. Williams							F. Creutzburg							A	F	S						29.198	82.31			2900				Nepal	Mid-western												
CNCCA2123-12	CNC COLEO 00156346	2726228	CNC COLEO 00156346		Canadian National Collection of Insects, Arachnids and Nematodes		BOLD:ACB0515	20	Arthropoda	82	Insecta	413	Coleoptera															Vouchered:Registered Collection	Tissue		J.Martens, W.Schawaller										Subtropical forest									1000		-50		Nepal					1776369	http://www.boldsystems.org/pics/CNCCA/CNC_COLEO_00156346+1347042442.JPG	Dorsal		CNC/BIO Photography Group	2012	CreativeCommons - Attribution	Centre for Biodiversity Genomics	CBG Photography Group
CNCHA1455-11	CNC#HEM301930	1980624	CNC#HEM301930		Canadian National Collection of Insects, Arachnids and Nematodes		BOLD:AAZ2263	20	Arthropoda	82	Insecta	133	Hemiptera											Renee Miskie	BIN Taxonomy Match (Sep 2018)			Vouchered:Registered Collection	Tissue		Canadian Nepal Expedition							A												137				Nepal					1140079	http://www.boldsystems.org/pics/CNCHA/CNC#HEM301930+1305724980.jpg	Dorsal		CNC/BIO Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Grace Bannon
CNCHF2205-12	CNC#HEM404154	2582703	CNC#HEM404154		Canadian National Collection of Insects, Arachnids and Nematodes		BOLD:AAZ5690	20	Arthropoda	82	Insecta	133	Hemiptera											C. N. C. Curators				Vouchered:Registered Collection	Tissue		Canadian Nepal Expedition																			137				Nepal	Central				1675665	http://www.boldsystems.org/pics/CNCHF/CNC#HEM404154+1340991864.jpg	Lateral		CNC/BIO Photography Group	2012	CreativeCommons - Attribution	Centre for Biodiversity Genomics	CBG Photography Group
COCUZ555-18	UHIM.ms5958	9394771	UHIM.ms5958	FF15Np005ME	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari							Adult	M	S				Lure: methyl eugenol		27.608	83.7426							Nepal				Ramnagar, Nawalparasi									
DACIN3459-20	UHIM.ms10209	12231611	UHIM.ms10209	FF15Np002	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	453393	Bactrocera raiensis			Michael San jose		Drew & Hancock, 1994					B. Bhandari				Collection Date: April-May 2015		Methyl eugenol	Adult		S						27.5909	83.7209			128.2				Nepal				Ramnagar, Nawalparasi									
FON012-15	DPR_FW 1213195	6233006		1213195	National Herbarium and Plant Laboratories, Nepal			12	Magnoliophyta	41	Magnoliopsida	42562	Malpighiales															Vouchered:Registered Collection	leaf		H. Ikeda, S. Noshiro, K. Yonekura, K. Akai, O. Yano, N. Yamamoto, C. A. Pendry, A. Elliott, Mitra Lal Pathak, Ganga Datt Bhatt																							Nepal													
FON024-15	DPR_FW 1219049	6233018		1219049	National Herbarium and Plant Laboratories, Nepal			12	Magnoliophyta	41	Magnoliopsida	121244	Ericales															Vouchered:Registered Collection	leaf		H. Ikeda, S. Noshiro, K. Yonekura, K. Akai, O. Yano, N. Yamamoto, C. A. Pendry, A. Elliott, Mitra Lal Pathak, Ganga Datt Bhatt																							Nepal													
