,processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
2133,GBMLG17194-14,KC495747,5139480,,KC495747,"Mined from GenBank, NCBI",,BOLD:ACG5075,23,Mollusca,92,Gastropoda,,,1476.0,Planorbidae,659609.0,Planorbinae,5978.0,Gyraulus,406603.0,Gyraulus sp.,,,,,,,,,,,,,,,,,,,,,,,,isolate: 15643,26.5578,86.985,,,,,,,Nepal,,,,,,,,,,,,,
144,GBIR6331-15,KP718122,6169428,KT-085,KP718122,"Mined from GenBank, NCBI",,,18,Chordata,51,Aves,305.0,Anseriformes,1436.0,Anatidae,,,52480.0,Tadorna,52481.0,Tadorna ferruginea,,,,,"Pallas, 1764",,,,,,,,,environmental fecal dropping,,,,,,,,,taxon:45639,,26.66,87.06,,,,,,,Nepal,,,,,,,,,,,,,
1249,GBMPL256-13,JN794501,3586023,UGSB 7513,,"Mined from GenBank, NCBI",,BOLD:ACD2692,23,Mollusca,92,Gastropoda,312020.0,Hygrophila,853.0,Lymnaeidae,,,6042.0,Radix,,,,,,,,,,,,,,,,Country data added by CBG collection curation - Aug 2020,,,,,,,,,,,26.664,87.6156,,,,,,,Nepal,,Province Number 1,,,,,,,,,,,
1888,GBMPL257-13,JN794500,3586024,UGSB 7512,,"Mined from GenBank, NCBI",,BOLD:ACD2692,23,Mollusca,92,Gastropoda,312020.0,Hygrophila,853.0,Lymnaeidae,,,6042.0,Radix,,,,,,,,,,,,,,,,Country data added by CBG collection curation - Aug 2020,,,,,,,,,,,26.664,87.6156,,,,,,,Nepal,,Province Number 1,,,,,,,,,,,
1719,QUNOC519-13,20138-050211-NE,3751699,,20138-050211-NE,"Vilnius University, Institute of Ecology of Nature Research",,BOLD:ACJ6010,20,Arthropoda,82,Insecta,113.0,Lepidoptera,,,,,,,,,,,Aidas Saldaitis,,,,,,,Benedek,,,,,,,adult,,,,,,,,26.732,85.925,,,2300.0,,,,Nepal,,,,,,,,,,,,,
1739,GBCMD28548-19,MG674605,10085537,HBG4487,,"Mined from GenBank, NCBI",,BOLD:AAD7851,20,Arthropoda,69,Malacostraca,336.0,Decapoda,516722.0,Acanthephyridae,,,78427.0,Acanthephyra,89950.0,Acanthephyra purpurea,,,,,"A. Milne-Edwards, 1881",,,,,,,,,,,,,,,,,,,,26.93,87.02,,,,,,,Nepal,,,,,,,,,,,,,
25,GBCMD28549-19,MG674606,10085538,HBG4499,,"Mined from GenBank, NCBI",,BOLD:AAD7851,20,Arthropoda,69,Malacostraca,336.0,Decapoda,516722.0,Acanthephyridae,,,78427.0,Acanthephyra,89950.0,Acanthephyra purpurea,,,,,"A. Milne-Edwards, 1881",,,,,,,,,,,,,,,,,,,,26.938,87.003,,,,,,,Nepal,,,,,,,,,,,,,
70,GBCMI3570-19,MG229572,10152533,HBG2635,,"Mined from GenBank, NCBI",,BOLD:ACG7869,20,Arthropoda,69,Malacostraca,330.0,Isopoda,1644.0,Cirolanidae,,,27535.0,Bathynomus,27536.0,Bathynomus giganteus,,,,,"A. Milne Edwards, 1879",,,,,,,,,,,,,,,,,,,,26.94,85.024,,,,,,,Nepal,,,,,,,,,,,,,
71,GBCMI3574-19,MG229576,10152537,HBG2639,,"Mined from GenBank, NCBI",,BOLD:ACG7869,20,Arthropoda,69,Malacostraca,330.0,Isopoda,1644.0,Cirolanidae,,,27535.0,Bathynomus,27536.0,Bathynomus giganteus,,,,,"A. Milne Edwards, 1879",,,,,,,,,,,,,,,,,,,,26.94,85.024,,,,,,,Nepal,,,,,,,,,,,,,
201,GBCMI3572-19,MG229574,10152535,HBG2637,,"Mined from GenBank, NCBI",,BOLD:ACG7869,20,Arthropoda,69,Malacostraca,330.0,Isopoda,1644.0,Cirolanidae,,,27535.0,Bathynomus,27536.0,Bathynomus giganteus,,,,,"A. Milne Edwards, 1879",,,,,,,,,,,,,,,,,,,,26.94,85.024,,,,,,,Nepal,,,,,,,,,,,,,
